Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1,5,3,65.0,8450,1,1,3,3,4,0,5,2,2,0,5,7,5,2003,2003,1,0,12,13,1,196.0,3,2,2,3,3,1,2,706.0,6,0.0,150.0,856.0,1,4,1,4,856,854,0,1710,1.0,0.0,2,1,3,1,2.0,8,6,0,0,1,2003.0,2,2.0,548.0,3,3,2,0,61,0,0,0,0,0,4,1,0,2,2008,8,4
2,0,3,80.0,9600,1,1,3,3,2,0,24,1,2,0,2,6,8,1976,1976,1,0,8,8,2,0.0,2,2,1,3,3,4,0,978.0,6,0.0,284.0,1262.0,1,4,1,4,1262,0,0,1262,0.0,1.0,2,0,3,1,1.0,6,6,1,3,1,1976.0,2,2.0,460.0,3,3,2,298,0,0,0,0,0,0,4,1,0,5,2007,8,4
3,5,3,68.0,11250,1,1,0,3,4,0,5,2,2,0,5,7,5,2001,2002,1,0,12,13,1,162.0,3,2,2,3,3,2,2,486.0,6,0.0,434.0,920.0,1,4,1,4,920,866,0,1786,1.0,0.0,2,1,3,1,2.0,6,6,1,3,1,2001.0,2,2.0,608.0,3,3,2,0,42,0,0,0,0,0,4,1,0,9,2008,8,4
4,6,3,60.0,9550,1,1,0,3,0,0,6,2,2,0,5,7,5,1915,1970,1,0,13,15,2,0.0,2,2,0,2,4,1,0,216.0,6,0.0,540.0,756.0,1,3,1,4,961,756,0,1717,1.0,0.0,1,0,3,1,2.0,7,6,1,4,5,1998.0,3,3.0,642.0,3,3,2,0,35,272,0,0,0,0,4,1,0,2,2006,8,0
5,5,3,84.0,14260,1,1,0,3,2,0,15,2,2,0,5,8,5,2000,2000,1,0,12,13,1,350.0,3,2,2,3,3,3,2,655.0,6,0.0,490.0,1145.0,1,4,1,4,1145,1053,0,2198,1.0,0.0,2,1,4,1,2.0,9,6,1,3,1,2000.0,2,3.0,836.0,3,3,2,192,84,0,0,0,0,0,4,1,0,12,2008,8,4
6,4,3,85.0,14115,1,1,0,3,4,0,11,2,2,0,0,5,5,1993,1995,1,0,12,13,2,0.0,2,2,5,3,3,1,2,732.0,6,0.0,64.0,796.0,1,4,1,4,796,566,0,1362,1.0,0.0,1,1,1,1,1.0,5,6,0,0,1,1993.0,3,2.0,480.0,3,3,2,40,30,0,320,0,0,0,2,3,700,10,2009,8,4
7,0,3,75.0,10084,1,1,3,3,4,0,21,2,2,0,2,8,5,2004,2005,1,0,12,13,3,186.0,3,2,2,4,3,3,2,1369.0,6,0.0,317.0,1686.0,1,4,1,4,1694,0,0,1694,1.0,0.0,2,0,3,1,2.0,7,6,1,4,1,2004.0,2,2.0,636.0,3,3,2,255,57,0,0,0,0,0,4,1,0,8,2007,8,4
8,5,3,,10382,1,1,0,3,0,0,14,4,2,0,5,7,6,1973,1973,1,0,6,6,3,240.0,2,2,1,3,3,2,0,859.0,1,32.0,216.0,1107.0,1,4,1,4,1107,983,0,2090,1.0,0.0,2,1,3,1,1.0,7,6,2,3,1,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,4,3,350,11,2009,8,4
9,4,4,51.0,6120,1,1,3,3,4,0,17,0,2,0,0,7,5,1931,1950,1,0,3,15,2,0.0,2,2,0,2,3,1,6,0.0,6,0.0,952.0,952.0,1,3,1,1,1022,752,0,1774,0.0,0.0,2,0,2,2,1.0,8,2,2,3,5,1931.0,3,2.0,468.0,2,3,2,90,0,205,0,0,0,0,4,1,0,4,2008,8,0
10,15,3,50.0,7420,1,1,3,3,0,0,3,0,0,1,1,5,6,1939,1950,1,0,8,8,2,0.0,2,2,0,2,3,1,2,851.0,6,0.0,140.0,991.0,1,4,1,4,1077,0,0,1077,1.0,0.0,1,0,2,2,1.0,5,6,2,3,1,1939.0,2,1.0,205.0,4,3,2,0,4,0,0,0,0,0,4,1,0,1,2008,8,4
